Country,Overall_Score,Peace_Conflict,Freedom_Oppression,Prosperity_Poverty,Stability_Chaos,Progress_Stagnation
Afghanistan,2.6,3.5,2.0,3.0,2.5,2.0
China,5.4,4.5,4.0,7.0,5.5,7.0
Egypt,4.1,3.5,3.0,5.5,4.0,5.0
France,5.5,4.0,6.0,6.5,4.5,7.0
Germany,5.0,3.5,4.0,6.5,5.5,6.5
India,6.1,5.5,6.0,6.5,6.0,7.0
Iran,5.0,4.2,4.8,5.9,4.6,6.1
Italy,6.0,4.8,5.5,7.2,5.8,7.1
Pakistan,5.0,3.5,4.8,5.9,5.2,6.1
Qatar,6.4,5.5,5.8,7.2,6.5,7.5
Russia,4.2,3.5,3.0,5.5,3.5,6.0
United_Kingdom,6.0,4.5,6.0,7.0,5.5,7.5
United_States,5.6,3.5,6.0,6.5,6.0,7.0
Uzbekistan,4.2,3.5,3.0,5.5,4.5,5.0
Albania,4.8,3.5,4.5,5.5,5.0,6.0
Bosnia_and_Herzegovina,4.2,3.0,4.0,5.0,4.0,6.0
Bulgaria,5.7,4.8,5.5,6.2,5.9,6.5
Greece,6.4,5.8,6.2,6.5,6.9,7.3
Ireland,4.8,3.5,5.0,5.5,4.5,6.0
Montenegro,5.4,4.8,5.2,5.9,5.5,6.1
Serbia,4.5,3.5,5.0,5.5,3.5,5.0
Spain,5.7,4.2,6.1,6.5,5.8,6.3
Algeria,4.7,3.5,4.8,5.5,4.0,6.2
Iceland,6.4,6.5,7.0,6.0,6.0,6.5
Jordan,5.8,5.2,6.1,5.8,5.5,6.3
Lebanon,4.0,3.5,4.0,4.5,3.0,5.0
Libya,4.4,4.1,3.5,5.8,3.8,5.0
Mali,3.4,3.0,3.5,3.8,2.5,4.0
Malta,6.1,5.5,6.5,6.0,6.5,6.0
Mauritania,5.0,4.8,4.1,5.2,5.5,5.8
Morocco,5.4,4.5,5.0,6.0,5.5,6.5
Netherlands,6.1,3.5,6.5,7.5,6.0,7.8
Portugal,6.0,4.8,5.9,6.5,6.2,7.1
Syria,4.2,4.1,3.8,4.5,3.9,5.2
Tunisia,5.0,4.5,5.0,5.5,5.0,5.5
Yemen,3.0,3.5,3.0,3.0,2.5,2.8
Andorra,6.8,6.5,6.0,7.2,6.8,7.8
Angola,4.1,3.5,3.0,5.5,3.0,6.0
Brazil,5.0,4.0,4.5,6.5,4.8,6.0
Republic_of_the_Congo,4.2,3.5,4.0,5.5,3.0,5.0
Cuba,4.4,3.5,3.8,5.2,4.8,5.5
Democratic_Republic_of_the_Congo,3.2,3.5,2.8,3.2,3.0,3.3
Gabon,4.9,4.5,3.5,6.0,5.0,6.5
Ghana,5.1,3.5,4.5,6.0,6.5,6.0
Guinea,3.5,3.5,3.0,4.5,3.5,3.0
Mozambique,4.2,3.5,4.0,5.0,3.0,5.5
Niger,4.1,3.5,4.0,4.5,3.8,5.0
Nigeria,4.6,3.5,4.0,5.5,4.8,6.0
South_Africa,5.1,3.5,5.5,5.8,4.8,6.2
Zimbabwe,3.5,3.5,3.0,3.8,3.2,4.1
Antigua_and_Barbuda,4.8,3.5,4.0,5.5,6.0,6.5
Argentina,4.8,4.0,4.5,6.0,4.0,6.0
Australia,6.2,5.5,5.0,7.5,6.5,7.5
Belgium,5.7,4.2,5.8,6.5,6.0,6.7
Bolivia,4.1,3.5,4.0,5.0,3.0,5.0
Canada,6.2,5.5,6.0,7.0,6.5,6.5
Chile,5.7,4.5,5.5,6.5,6.0,6.5
Colombia,4.7,3.5,5.0,5.5,4.8,5.2
Denmark,6.5,4.8,6.5,7.2,6.9,7.8
Georgia,5.0,5.0,4.0,5.5,5.0,6.0
Japan,6.1,5.8,5.5,6.5,6.2,6.9
New_Zealand,6.2,4.8,6.5,6.9,6.2,7.3
Paraguay,4.5,3.5,3.8,5.8,4.9,5.5
Peru,4.5,3.5,4.5,5.5,4.0,5.0
Philippines,5.3,4.5,5.5,6.0,4.5,6.5
Switzerland,7.3,6.5,7.8,7.5,7.2,7.9
Venezuela,3.9,4.0,3.0,4.5,3.5,5.0
Armenia,4.6,3.5,4.0,5.5,4.8,6.0
Azerbaijan,4.7,3.5,4.0,6.5,4.5,5.5
Turkey,4.8,3.5,4.0,6.5,4.5,6.0
Indonesia,5.2,4.0,4.5,6.5,5.5,6.5
Iraq,4.1,3.5,4.0,4.5,3.0,6.0
Singapore,6.7,5.5,6.5,8.0,6.5,7.5
Vietnam,4.7,3.5,4.0,6.0,4.0,6.5
Austria,6.2,4.5,6.5,7.0,6.0,7.5
Hungary,5.0,3.5,4.8,6.2,5.5,6.0
Liechtenstein,7.3,6.5,7.8,7.2,7.5,7.8
Luxembourg,6.8,5.5,7.0,7.5,6.5,7.8
Poland,5.3,3.5,5.5,6.5,5.5,6.5
Slovenia,5.3,3.5,5.5,6.5,5.5,6.5
Bahrain,5.2,4.8,4.5,5.9,5.2,6.1
Israel,4.8,3.1,4.8,6.2,4.0,6.5
Kuwait,5.9,5.2,6.1,6.5,5.8,6.3
